                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0825,                 0.8623,                  1.008,                0.01792,                 0.1875,                0.01219,                0.00578,                 2.7826,                 20.765,                 2.9271,             0.00090222,             0.00090222,             0.00090222
                     35,                0.99434,                0.81839,                 1.0339,                0.03709,                 0.1875,                0.02569,                0.01189,                 2.7541,                 22.572,                 3.5506,             0.00091549,             0.00091549,             0.00091549
                     36,                  1.058,                0.82877,                 1.1871,                0.10604,                   0.25,                0.12339,                 0.0676,                 2.6833,                  14.11,                 3.5532,             0.00092797,             0.00092797,             0.00092797
                     37,                0.94957,                0.89918,                 1.0075,                0.10604,                   0.25,                0.12339,                 0.0676,                 2.6833,                  14.11,                 3.5532,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0353,                 0.8437,                 1.0112,                0.34585,                 0.3125,                0.22651,                0.10848,                  2.608,                 8.3687,                 3.3511,             0.00095055,             0.00095055,             0.00095055
                     39,                0.94519,                0.92006,                   1.11,                0.36311,                  0.375,                0.26702,                0.14895,                 2.3608,                 7.3638,                 3.0543,             0.00096065,             0.00096065,             0.00096065
                     40,                0.96173,                0.74817,                0.98268,                0.36311,                  0.375,                0.26702,                0.14895,                 2.3608,                 7.3638,                 3.0543,             0.00096996,             0.00096996,             0.00096996
                     41,                0.94676,                0.70848,                 1.0262,                0.13091,                 0.5625,                0.11358,                0.06098,                 2.2612,                 12.428,                 3.0343,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.1243,                0.84098,                 1.1229,                0.10289,                    0.5,                0.08412,                0.04311,                 2.2457,                 16.815,                 2.8714,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.1485,                0.95778,                 1.1059,                0.10289,                    0.5,                0.08412,                0.04311,                 2.2457,                 16.815,                 2.8714,             0.00099314,             0.00099314,             0.00099314
                     44,                0.97897,                0.75348,                0.99991,                0.41459,                   0.25,                0.25084,                0.16956,                 2.0185,                 5.6478,                 2.5465,             0.00099928,             0.00099928,             0.00099928
                     45,                  1.079,                0.85999,                 1.1151,                0.41459,                   0.25,                0.25084,                0.16956,                 2.0185,                 5.6478,                 2.5465,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.0229,                0.83248,                 1.0473,                0.43223,                   0.25,                0.21314,                0.14058,                   1.96,                 5.4386,                 2.4132,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.0471,                0.81113,                 1.0395,                0.43223,                   0.25,                0.21314,                0.14058,                   1.96,                 5.4386,                 2.4132,               0.001013,               0.001013,               0.001013
